strength,dexterity,fighting,shieldsSkill,armourSkill,armourEncumb,shieldPenalty,species size,weap1 damage,w1 base delay,w1 min delay,w1 total slaying,brand,w1 ranged?,weap2 damage,w2 base delay,w2 min delay,w2 total slaying,w2 brand,w2 ranged?,,,Authorisation:,https://yagisanatode.com/2020/08/17/running-google-apps-script-for-the-first-time-whats-with-all-the-warnings/,,,,,,,,,,
12,12,5,5,5,7,0,normal,19,1.9,1,9,none,FALSE,13,1.6,0.6,9,none,FALSE,,,,,,,,,,,,,,
monName,monHD,monDataHP,monAC,monEV,MonRealHP,weapon skill 0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27
test spawner,1000,10000000,127,127,1000000,1.387279382,1.38024925,1.390746673,1.389980165,1.390532629,1.387391943,1.384008307,1.378519925,1.372918747,1.365691263,1.357945098,1.348451872,1.338035206,1.32603906,1.312402721,1.297323037,1.279906038,1.260605042,1.238566287,1.153275074,1.067161387,1.069875328,1.072324069,1.075086359,1.077554353,1.080757275,1.082250651,1.084560088
Dispater,16,4480,40,3,448,1.387279382,1.38024925,1.390746673,1.389980165,1.390532629,1.387391943,1.384008307,1.378519925,1.372918747,1.365691263,1.357945098,1.348451872,1.338035206,1.32603906,1.31240235,1.297321299,1.279900995,1.260593066,1.238539861,1.153226975,1.067084294,1.069752372,1.072130893,1.074796402,1.077142923,1.080198669,1.08148535,1.083549152
curse skull,13,520,35,3,52,1.387279382,1.38024925,1.390746673,1.389980165,1.390532629,1.387391943,1.384008307,1.37851992,1.372918491,1.36568915,1.357936288,1.348429631,1.33798864,1.3259507,1.312247627,1.297072801,1.279529262,1.260062474,1.237808451,1.152302539,1.065961237,1.068317799,1.070329912,1.072567875,1.074449742,1.077010706,1.077719837,1.079180046
Parghit,27,1200,1,12,120,1.095060875,1.08951158,1.089468986,1.086472867,1.083183513,1.078411379,1.073140132,1.066883686,1.060246728,1.052653145,1.044496354,1.035344581,1.025459321,1.01445512,1.002266952,0.9889796436,0.9741950054,0.9579234654,0.9397559224,0.8736167398,0.8072354513,0.8080747385,0.8088599633,0.8097178282,0.8105684373,0.8115882755,0.8119862819,0.8125850717
Cerebov,21,6510,30,8,651,1.387279382,1.38024925,1.390744886,1.389972268,1.390513487,1.387339514,1.38389685,1.378322006,1.372589918,1.36516768,1.357157572,1.347332719,1.336499149,1.323993761,1.309750619,1.293964365,1.275758472,1.255576961,1.23256971,1.146582556,1.05985035,1.061325028,1.062428773,1.063696114,1.064612667,1.066201614,1.065910761,1.066372221
Tiamat,20,3850,30,10,385,1.387279382,1.38024925,1.390744886,1.389972268,1.390513487,1.387339514,1.38389685,1.378322006,1.372589918,1.36516768,1.357157572,1.347332719,1.336499149,1.323993761,1.309750619,1.293964365,1.275758472,1.255576961,1.23256971,1.146582556,1.05985035,1.061325028,1.062428773,1.063696114,1.064612667,1.066201614,1.065910761,1.066372221
Bai Suzhen,20,1850,30,10,185,1.387279382,1.38024925,1.390744886,1.389972268,1.390513487,1.387339514,1.38389685,1.378322006,1.372589918,1.36516768,1.357157572,1.347332719,1.336499149,1.323993761,1.309750619,1.293964365,1.275758472,1.255576961,1.23256971,1.146582556,1.05985035,1.061325028,1.062428773,1.063696114,1.064612667,1.066201614,1.065910761,1.066372221
Asmodeus,17,4505,30,7,450.5,1.387279382,1.38024925,1.390744886,1.389972268,1.390513487,1.387339514,1.38389685,1.378322006,1.372589918,1.36516768,1.357157572,1.347332719,1.336499149,1.323993761,1.309750619,1.293964365,1.275758472,1.255576961,1.23256971,1.146582556,1.05985035,1.061325028,1.062428773,1.063696114,1.064612667,1.066201614,1.065910761,1.066372221
the Serpent of Hell,17,3230,30,8,323,1.387279382,1.38024925,1.390744886,1.389972268,1.390513487,1.387339514,1.38389685,1.378322006,1.372589918,1.36516768,1.357157572,1.347332719,1.336499149,1.323993761,1.309750619,1.293964365,1.275758472,1.255576961,1.23256971,1.146582556,1.05985035,1.061325028,1.062428773,1.063696114,1.064612667,1.066201614,1.065910761,1.066372221
